,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,Address,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE
41598066,JUNG SIK,MANHATTAN,6,HARRISON STREET,10013,2122190900,Korean,5/13/2014,Violations were cited in the following area(s).,06I,Food not labeled in accordance with HACCP plan.,"6 HARRISON STREET, New York City, NY 10013",-1,C,5/13/2014,11/14/2014,Cycle Inspection / Re-inspection
41598066,JUNG SIK,MANHATTAN,6,HARRISON STREET,10013,2122190900,Korean,5/13/2014,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","6 HARRISON STREET, New York City, NY 10013",-1,C,5/13/2014,11/14/2014,Cycle Inspection / Re-inspection
41598066,JUNG SIK,MANHATTAN,6,HARRISON STREET,10013,2122190900,Korean,5/13/2014,Violations were cited in the following area(s).,06H,Records and logs not maintained to demonstrate that HACCP plan has been properly implemented.,"6 HARRISON STREET, New York City, NY 10013",-1,C,5/13/2014,11/14/2014,Cycle Inspection / Re-inspection
41291292,DUO TIAN BAKERY,MANHATTAN,118,ELDRIDGE STREET,10002,2129661811,Bakery,6/30/2014,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility�s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.","118 ELDRIDGE STREET, New York City, NY 10002",-1,C,6/30/2014,11/14/2014,Cycle Inspection / Re-inspection
41291292,DUO TIAN BAKERY,MANHATTAN,118,ELDRIDGE STREET,10002,2129661811,Bakery,6/30/2014,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,"118 ELDRIDGE STREET, New York City, NY 10002",-1,C,6/30/2014,11/14/2014,Cycle Inspection / Re-inspection
41291292,DUO TIAN BAKERY,MANHATTAN,118,ELDRIDGE STREET,10002,2129661811,Bakery,6/30/2014,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,"118 ELDRIDGE STREET, New York City, NY 10002",-1,C,6/30/2014,11/14/2014,Cycle Inspection / Re-inspection
41271483,KATSUHAMA RESTAURANT,MANHATTAN,4345,WEST 55 STREET,10019,2125417145,Japanese,6/27/2011,Establishment re-opened by DOHMH,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","4345 WEST 55 STREET, New York City, NY 10019",2,C,6/27/2011,11/14/2014,Cycle Inspection / Reopening Inspection
41116537,ELSA LA REINA DEL CHICHARRON,MANHATTAN,4840,BROADWAY,10034,2123041070,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",3/14/2013,Establishment re-opened by DOHMH,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","4840 BROADWAY, New York City, NY 10034",5,C,3/14/2013,11/14/2014,Cycle Inspection / Reopening Inspection
41563537,BENITO ONE,MANHATTAN,174,MULBERRY STREET,10013,2122269171,Italian,6/10/2013,Establishment re-opened by DOHMH,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,"174 MULBERRY STREET, New York City, NY 10013",5,C,6/10/2013,11/14/2014,Cycle Inspection / Reopening Inspection
41638517,PITA GRILL,MANHATTAN,1570,1 AVENUE,10028,2127172005,Mediterranean,7/2/2014,Establishment re-opened by DOHMH,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,"1570 1 AVENUE, New York City, NY 10028",5,C,7/2/2014,11/14/2014,Cycle Inspection / Reopening Inspection
40378136,BROADWAY RESTAURANT,MANHATTAN,2664,BROADWAY,10025,2128657074,American,7/25/2013,Establishment re-opened by DOHMH,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","2664 BROADWAY, New York City, NY 10025",5,C,7/25/2013,11/14/2014,Cycle Inspection / Reopening Inspection
41414673,BAOGUETTE PHO SURE,MANHATTAN,120,CHRISTOPHER STREET,10014,2129290877,Vietnamese/Cambodian/Malaysia,10/19/2012,Establishment re-opened by DOHMH,04M,Live roaches present in facility's food and/or non-food areas.,"120 CHRISTOPHER STREET, New York City, NY 10014",5,C,10/19/2012,11/14/2014,Cycle Inspection / Reopening Inspection
41166914,EAT ON 8TH,MANHATTAN,601,WEST 26 STREET,10001,2123528548,American,11/9/2011,Establishment re-opened by DOHMH,04M,Live roaches present in facility's food and/or non-food areas.,"601 WEST 26 STREET, New York City, NY 10001",6,C,11/9/2011,11/14/2014,Cycle Inspection / Reopening Inspection
41186217,THE LITTLE OWL,MANHATTAN,90,BEDFORD STREET,10014,2127414695,American,4/6/2012,Establishment re-opened by DOHMH,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","90 BEDFORD STREET, New York City, NY 10014",7,C,4/6/2012,11/14/2014,Cycle Inspection / Reopening Inspection
40654823,BLONDIES,MANHATTAN,212,WEST   79 STREET,10024,2123624360,American,6/26/2014,Establishment re-opened by DOHMH,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","212 WEST   79 STREET, New York City, NY 10024",7,C,6/26/2014,11/14/2014,Cycle Inspection / Reopening Inspection
40364576,TOUT VA BIEN,MANHATTAN,311,WEST   51 STREET,10019,2122650190,French,3/8/2012,Establishment re-opened by DOHMH,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","311 WEST   51 STREET, New York City, NY 10019",7,C,3/8/2012,11/14/2014,Cycle Inspection / Reopening Inspection
50009001,KLONG,MANHATTAN,7,SAINT MARKS PLACE,10003,2125059955,Thai,6/25/2014,Establishment re-opened by DOHMH,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.","7 SAINT MARKS PLACE, New York City, NY 10003",7,C,6/25/2014,11/14/2014,Pre-permit (Operational) / Reopening Inspection
40669257,SZECHUAN KITCHEN,MANHATTAN,1518,FIRST AVENUE,10075,2122494615,Chinese,7/22/2011,Establishment re-opened by DOHMH,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,"1518 FIRST AVENUE, New York City, NY 10075",7,C,7/22/2011,11/14/2014,Cycle Inspection / Reopening Inspection
41267927,P.D. O'HURLEY'S,MANHATTAN,557,12 AVENUE,10036,2126436233,American,5/24/2013,Establishment re-opened by DOHMH,04J,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.","557 12 AVENUE, New York City, NY 10036",8,C,5/24/2013,11/14/2014,Cycle Inspection / Reopening Inspection
40387339,UNO CHICAGO GRILL,MANHATTAN,432,COLUMBUS AVENUE,10024,2125954700,Pizza/Italian,8/9/2011,Establishment re-opened by DOHMH,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.","432 COLUMBUS AVENUE, New York City, NY 10024",8,C,8/9/2011,11/14/2014,Cycle Inspection / Reopening Inspection
41202879,LUSCIOUS THAI RESTAURANT,MANHATTAN,1099,1 AVENUE,10065,2128131188,Thai,6/20/2012,Establishment re-opened by DOHMH,04M,Live roaches present in facility's food and/or non-food areas.,"1099 1 AVENUE, New York City, NY 10065",9,C,6/20/2012,11/14/2014,Cycle Inspection / Reopening Inspection
41567540,WIMPY'S RESTAURANT 5,MANHATTAN,2334,2 AVENUE,10035,2128283661,American,6/30/2011,Establishment re-opened by DOHMH,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","2334 2 AVENUE, New York City, NY 10035",9,C,6/30/2011,11/14/2014,Cycle Inspection / Reopening Inspection
41721343,COFFEE SHOP DINER,MANHATTAN,442,EAST   14 STREET,10009,2122605842,American,6/21/2013,Establishment re-opened by DOHMH,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","442 EAST   14 STREET, New York City, NY 10009",9,C,6/21/2013,11/14/2014,Pre-permit (Operational) / Reopening Inspection
41627515,BANGIA BAR & LOUNGE,MANHATTAN,11,EAST   32 STREET,10016,2126796790,Korean,3/1/2012,Establishment re-opened by DOHMH,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,"11 EAST   32 STREET, New York City, NY 10016",9,C,3/1/2012,11/14/2014,Pre-permit (Operational) / Reopening Inspection
50000133,CROSS CULTURE KITCHEN,MANHATTAN,62,EAST  116 STREET,10029,2128603900,African,11/6/2013,Establishment re-opened by DOHMH,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility�s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.","62 EAST  116 STREET, New York City, NY 10029",9,C,11/6/2013,11/14/2014,Pre-permit (Operational) / Reopening Inspection
41550229,TULSI RESTAURANT,MANHATTAN,211,EAST 46 STREET,10017,2128880820,Indian,12/3/2012,Establishment re-opened by DOHMH,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,"211 EAST 46 STREET, New York City, NY 10017",9,C,12/3/2012,11/14/2014,Cycle Inspection / Reopening Inspection
41443107,COUNTRY PAN FRIED CHICKEN,MANHATTAN,2841,8 AVENUE,10039,2122811800,Soul Food,7/15/2011,Establishment re-opened by DOHMH,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,"2841 8 AVENUE, New York City, NY 10039",9,C,7/15/2011,11/14/2014,Cycle Inspection / Reopening Inspection
41305482,NOMADO 33,MANHATTAN,165,EAST 33 STREET,10016,2128892833,Japanese,3/28/2012,Establishment re-opened by DOHMH,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,"165 EAST 33 STREET, New York City, NY 10016",9,C,3/28/2012,11/14/2014,Cycle Inspection / Reopening Inspection
41313487,"DUNKIN' DONUTS, BASKIN ROBBINS",MANHATTAN,218,EAST   14 STREET,11226,2123889992,Donuts,7/6/2012,Establishment re-opened by DOHMH,04M,Live roaches present in facility's food and/or non-food areas.,"218 EAST   14 STREET, New York City, NY 11226",9,C,7/6/2012,11/14/2014,Cycle Inspection / Reopening Inspection
50008279,GARLIC PIZZA BAR,MANHATTAN,629,2 AVENUE,10016,6465599500,Pizza/Italian,4/30/2014,Establishment re-opened by DOHMH,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,"629 2 AVENUE, New York City, NY 10016",9,C,4/30/2014,11/14/2014,Pre-permit (Operational) / Reopening Inspection
40999185,GAETANA'S CUCINA ITALIANA,MANHATTAN,143,CHRISTOPHER STREET,10014,2126753913,Italian,9/5/2013,Establishment re-opened by DOHMH,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,"143 CHRISTOPHER STREET, New York City, NY 10014",9,C,9/5/2013,11/14/2014,Cycle Inspection / Reopening Inspection
40700664,PHO BANG RESTAURANT,MANHATTAN,157,MOTT STREET,10013,2129663797,Vietnamese/Cambodian/Malaysia,12/24/2012,Establishment re-opened by DOHMH,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,"157 MOTT STREET, New York City, NY 10013",9,C,12/24/2012,11/14/2014,Cycle Inspection / Reopening Inspection
