ID,Name,Number,Street,ZIP,Phone,Cuisine,An Inspection,,,,Score,,,,Lat,Lng,List of Violation Codes
41598066,JUNG SIK,6,HARRISON STREET,10013,2122190900,Korean,5/13/2014,Violations were cited in the following area(s).,06I,Food not labeled in accordance with HACCP plan.,-1,5/13/2014,11/14/2014,Cycle Inspection / Re-inspection,40.718843,-74.009231,06I-06D-06H
41291292,DUO TIAN BAKERY,118,ELDRIDGE STREET,10002,2129661811,Bakery,6/30/2014,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",-1,6/30/2014,11/14/2014,Cycle Inspection / Re-inspection,40.718454,-73.991664,04N-04A-02B
41271483,KATSUHAMA RESTAURANT,4345,WEST 55 STREET,10019,2125417145,Japanese,6/27/2011,Establishment re-opened by DOHMH,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",2,6/27/2011,11/14/2014,Cycle Inspection / Reopening Inspection,40.765418,-73.983822,06D
41116537,ELSA LA REINA DEL CHICHARRON,4840,BROADWAY,10034,2123041070,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",3/14/2013,Establishment re-opened by DOHMH,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",5,3/14/2013,11/14/2014,Cycle Inspection / Reopening Inspection,40.866247,-73.924715,06D
41563537,BENITO ONE,174,MULBERRY STREET,10013,2122269171,Italian,6/10/2013,Establishment re-opened by DOHMH,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,5,6/10/2013,11/14/2014,Cycle Inspection / Reopening Inspection,40.719906,-73.996786,04L
41638517,PITA GRILL,1570,1 AVENUE,10028,2127172005,Mediterranean,7/2/2014,Establishment re-opened by DOHMH,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,5,7/2/2014,11/14/2014,Cycle Inspection / Reopening Inspection,40.773889,-73.951112,04L
40378136,BROADWAY RESTAURANT,2664,BROADWAY,10025,2128657074,American,7/25/2013,Establishment re-opened by DOHMH,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",5,7/25/2013,11/14/2014,Cycle Inspection / Reopening Inspection,40.797969,-73.968975,06D-02B-04M-02H
41414673,BAOGUETTE PHO SURE,120,CHRISTOPHER STREET,10014,2129290877,Vietnamese/Cambodian/Malaysia,10/19/2012,Establishment re-opened by DOHMH,04M,Live roaches present in facility's food and/or non-food areas.,5,10/19/2012,11/14/2014,Cycle Inspection / Reopening Inspection,40.732983,-74.005578,04M
41166914,EAT ON 8TH,601,WEST 26 STREET,10001,2123528548,American,11/9/2011,Establishment re-opened by DOHMH,04M,Live roaches present in facility's food and/or non-food areas.,6,11/9/2011,11/14/2014,Cycle Inspection / Reopening Inspection,40.751366,-74.006759,04M
41186217,THE LITTLE OWL,90,BEDFORD STREET,10014,2127414695,American,4/6/2012,Establishment re-opened by DOHMH,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",7,4/6/2012,11/14/2014,Cycle Inspection / Reopening Inspection,40.732218,-74.005212,06C
40654823,BLONDIES,212,WEST   79 STREET,10024,2123624360,American,6/26/2014,Establishment re-opened by DOHMH,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",7,6/26/2014,11/14/2014,Cycle Inspection / Reopening Inspection,40.783192,-73.979171,06D
40364576,TOUT VA BIEN,311,WEST   51 STREET,10019,2122650190,French,3/8/2012,Establishment re-opened by DOHMH,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",7,3/8/2012,11/14/2014,Cycle Inspection / Reopening Inspection,40.763406,-73.986219,06D-06C-04H
